time,datetime_utc,px,sz,side,notional,tid
1774176464505,2026-03-22 10:47:44.505,68609.0,0.0091,B,624.3419,317423498087713
1774176464963,2026-03-22 10:47:44.963,68609.0,0.00778,B,533.77802,1061804922296892
1774176466633,2026-03-22 10:47:46.633,68608.0,0.01999,A,1371.4739200000001,227572318213592
1774176469108,2026-03-22 10:47:49.108,68609.0,0.00597,B,409.59572999999995,78629469367222
1774176470672,2026-03-22 10:47:50.672,68609.0,0.00131,B,89.87779,880653174332914
1774176472009,2026-03-22 10:47:52.009,68608.0,0.00044,A,30.187520000000003,916015610437896
1774176472624,2026-03-22 10:47:52.624,68608.0,0.00813,A,557.78304,525082265418688
1774176473879,2026-03-22 10:47:53.879,68608.0,0.018,A,1234.944,283829045921271
1774176474069,2026-03-22 10:47:54.069,68608.0,0.03749,A,2572.1139200000002,895987397312582
1774176474304,2026-03-22 10:47:54.304,68609.0,0.0207,B,1420.2063,860146185125688
1774176474421,2026-03-22 10:47:54.421,68609.0,0.00022,B,15.09398,891758596508830
1774176475110,2026-03-22 10:47:55.110,68609.0,0.1475,B,10119.8275,692989059817094
1774176476187,2026-03-22 10:47:56.187,68609.0,0.00016,B,10.977440000000001,1062264647158804
1774176477655,2026-03-22 10:47:57.655,68608.0,0.0117,A,802.7136,476164086256906
1774176479431,2026-03-22 10:47:59.431,68609.0,0.0117,B,802.7253000000001,772573038133409
1774176479799,2026-03-22 10:47:59.799,68608.0,0.00029,A,19.89632,52656914265505
1774176480157,2026-03-22 10:48:00.157,68607.0,0.00015,A,10.291049999999998,809737770683329
1774176480157,2026-03-22 10:48:00.157,68607.0,0.00299,A,205.13493,112161705627181
1774176480157,2026-03-22 10:48:00.157,68606.0,0.00015,A,10.290899999999999,124449183285551
1774176480157,2026-03-22 10:48:00.157,68604.0,0.003,A,205.812,459853943548456
1774176480157,2026-03-22 10:48:00.157,68604.0,0.00017,A,11.662680000000002,447029355719745
1774176481018,2026-03-22 10:48:01.018,68601.0,0.00237,A,162.58437,781794477274123
1774176481283,2026-03-22 10:48:01.283,68602.0,0.00032,B,21.952640000000002,1056690224633408
1774176483098,2026-03-22 10:48:03.098,68601.0,0.00121,A,83.00721,838328716575216
1774176483098,2026-03-22 10:48:03.098,68601.0,0.00029,A,19.89429,991276803227378
1774176483098,2026-03-22 10:48:03.098,68601.0,0.00018,A,12.348180000000001,45452953391789
1774176484100,2026-03-22 10:48:04.100,68601.0,0.00142,A,97.41342,1024748804487532
1774176485302,2026-03-22 10:48:05.302,68601.0,0.01457,B,999.51657,235588613269479
1774176485508,2026-03-22 10:48:05.508,68600.0,0.00022,A,15.092,371414627123262
1774176485508,2026-03-22 10:48:05.508,68600.0,0.009,A,617.4,738770167696997
1774176486206,2026-03-22 10:48:06.206,68601.0,0.009,B,617.409,989095078201830
1774176488007,2026-03-22 10:48:08.007,68601.0,0.00016,B,10.97616,1070246069001683
1774176489970,2026-03-22 10:48:09.970,68600.0,0.0248,A,1701.28,676085604575961
1774176490012,2026-03-22 10:48:10.012,68601.0,0.00059,B,40.47459,280507793929734
1774176490841,2026-03-22 10:48:10.841,68600.0,0.07265,A,4983.790000000001,322115290349356
1774176491102,2026-03-22 10:48:11.102,68600.0,0.00018,A,12.348,500092514447327
1774176491102,2026-03-22 10:48:11.102,68600.0,0.0007,A,48.019999999999996,395782635087774
1774176492311,2026-03-22 10:48:12.311,68600.0,0.00305,A,209.23000000000002,1107644395357173
1774176492419,2026-03-22 10:48:12.419,68600.0,0.00752,A,515.872,920004177413603
1774176492907,2026-03-22 10:48:12.907,68600.0,0.0248,B,1701.28,952553423088658
1774176493687,2026-03-22 10:48:13.687,68597.0,0.003,A,205.791,486711174888619
1774176493687,2026-03-22 10:48:13.687,68597.0,0.00307,A,210.59278999999998,225330917082362
1774176495923,2026-03-22 10:48:15.923,68595.0,0.01057,A,725.0491499999999,1099515788177653
1774176497531,2026-03-22 10:48:17.531,68595.0,0.007,A,480.165,1115520746719277
1774176498676,2026-03-22 10:48:18.676,68596.0,6e-05,B,4.11576,507117563712512
1774176500296,2026-03-22 10:48:20.296,68595.0,0.01946,A,1334.8587,458588788973372
1774176500296,2026-03-22 10:48:20.296,68595.0,0.39524,A,27111.4878,520903161857343
1774176500296,2026-03-22 10:48:20.296,68595.0,0.06905,A,4736.48475,964766992104294
1774176500296,2026-03-22 10:48:20.296,68595.0,0.07243,A,4968.3358499999995,53284477185640
1774176500296,2026-03-22 10:48:20.296,68595.0,0.09214,A,6320.3432999999995,893786313876134
1774176500296,2026-03-22 10:48:20.296,68595.0,0.08057,A,5526.69915,616613776269467
1774176500900,2026-03-22 10:48:20.900,68596.0,1e-05,B,0.68596,796198163650600
1774176502403,2026-03-22 10:48:22.403,68595.0,0.01,A,685.95,971899358535850
1774176503209,2026-03-22 10:48:23.209,68596.0,0.00215,B,147.4814,504093610566434
1774176504010,2026-03-22 10:48:24.010,68595.0,0.00778,A,533.6691,687601614810466
1774176504010,2026-03-22 10:48:24.010,68595.0,0.02488,A,1706.6435999999999,50173661114861
1774176504507,2026-03-22 10:48:24.507,68595.0,0.0117,A,802.5615,998255946342453
1774176504907,2026-03-22 10:48:24.907,68596.0,0.0117,B,802.5732,28541287934059
1774176505932,2026-03-22 10:48:25.932,68596.0,1e-05,B,0.68596,562963756010702
1774176507168,2026-03-22 10:48:27.168,68595.0,0.01457,A,999.4291499999999,359348762231960
1774176511018,2026-03-22 10:48:31.018,68595.0,0.00238,A,163.2561,299840250621648
1774176512693,2026-03-22 10:48:32.693,68596.0,0.00025,B,17.149,871343154104441
1774176513036,2026-03-22 10:48:33.036,68595.0,0.00124,A,85.0578,413816105817591
1774176513036,2026-03-22 10:48:33.036,68595.0,0.00029,A,19.89255,549442848501642
