time,datetime_utc,px,sz,side,notional,tid
1774148523416,2026-03-22 03:02:03.416,69152.0,0.00255,B,176.3376,557283197166913
1774148523941,2026-03-22 03:02:03.941,69151.0,0.00018,A,12.447180000000001,610745283869590
1774148524026,2026-03-22 03:02:04.026,69151.0,0.00142,A,98.19442000000001,161331729067842
1774148524473,2026-03-22 03:02:04.473,69151.0,0.15174,A,10492.972740000001,173129908498360
1774148525377,2026-03-22 03:02:05.377,69151.0,4e-05,A,2.7660400000000003,359184610443822
1774148526732,2026-03-22 03:02:06.732,69152.0,0.00146,B,100.96191999999999,1108732085787741
1774148527130,2026-03-22 03:02:07.130,69151.0,0.27181,A,18795.93331,375943739964812
1774148527951,2026-03-22 03:02:07.951,69151.0,0.00043,A,29.73493,79477574235872
1774148528067,2026-03-22 03:02:08.067,69152.0,0.00016,B,11.06432,910019261487558
1774148529159,2026-03-22 03:02:09.159,69152.0,0.01092,B,755.1398399999999,657944216896585
1774148529559,2026-03-22 03:02:09.559,69151.0,0.00021,A,14.52171,193642420299126
1774148531398,2026-03-22 03:02:11.398,69152.0,0.00728,B,503.42656,911923109593290
1774148531583,2026-03-22 03:02:11.583,69152.0,0.03841,B,2656.12832,521977275524046
1774148533133,2026-03-22 03:02:13.133,69152.0,0.00045,B,31.118399999999998,720499949575783
1774148533343,2026-03-22 03:02:13.343,69152.0,0.00239,B,165.27328,778628720219475
1774148533731,2026-03-22 03:02:13.731,69151.0,0.05,A,3457.55,536624105929841
1774148534030,2026-03-22 03:02:14.030,69152.0,0.00759,B,524.86368,261855484699335
1774148536024,2026-03-22 03:02:16.024,69151.0,0.00028,A,19.36228,318646128467061
1774148536224,2026-03-22 03:02:16.224,69152.0,0.00022,B,15.21344,182777130869259
1774148538492,2026-03-22 03:02:18.492,69151.0,0.18867,A,13046.71917,739466674345808
1774148539439,2026-03-22 03:02:19.439,69152.0,0.03551,B,2455.58752,728083468464485
1774148539439,2026-03-22 03:02:19.439,69152.0,0.00373,B,257.93696,877203914352520
1774148539439,2026-03-22 03:02:19.439,69152.0,0.00017,B,11.755840000000001,1101363089010758
1774148539439,2026-03-22 03:02:19.439,69152.0,0.72315,B,50007.2688,92267692663946
1774148539439,2026-03-22 03:02:19.439,69152.0,0.6835,B,47265.392,296538236990609
1774148539655,2026-03-22 03:02:19.655,69152.0,0.05944,B,4110.39488,455347960911113
1774148540055,2026-03-22 03:02:20.055,69152.0,0.00034,B,23.511680000000002,208895196300906
1774148540580,2026-03-22 03:02:20.580,69152.0,0.02155,B,1490.2256,386584912786416
1774148540832,2026-03-22 03:02:20.832,69152.0,0.00029,B,20.05408,261531444566011
1774148541042,2026-03-22 03:02:21.042,69151.0,0.00028,A,19.36228,241756001640532
1774148541929,2026-03-22 03:02:21.929,69152.0,0.02227,B,1540.01504,170850586979050
1774148542096,2026-03-22 03:02:22.096,69152.0,0.00015,B,10.3728,275317912206241
1774148543096,2026-03-22 03:02:23.096,69151.0,0.59691,A,41276.92341,355953799565452
1774148543096,2026-03-22 03:02:23.096,69151.0,1.98212,A,137065.58012,842400724263896
1774148543096,2026-03-22 03:02:23.096,69151.0,0.00017,A,11.75567,13093094320742
1774148543096,2026-03-22 03:02:23.096,69151.0,0.00025,A,17.28775,712596474463347
1774148543096,2026-03-22 03:02:23.096,69151.0,0.0002,A,13.830200000000001,24779728993412
1774148543531,2026-03-22 03:02:23.531,69151.0,0.097,B,6707.647,130938755931524
1774148543715,2026-03-22 03:02:23.715,69150.0,0.01443,A,997.8345,152417398729923
1774148543802,2026-03-22 03:02:23.802,69150.0,0.00541,A,374.1015,1057824788911272
1774148544315,2026-03-22 03:02:24.315,69150.0,0.00361,A,249.6315,190928931295751
1774148544447,2026-03-22 03:02:24.447,69151.0,0.00137,B,94.73687,91090034512950
1774148544838,2026-03-22 03:02:24.838,69150.0,0.02655,A,1835.9325000000001,478915999855976
1774148544838,2026-03-22 03:02:24.838,69150.0,0.0004,A,27.66,879591560231956
1774148544838,2026-03-22 03:02:24.838,69150.0,0.16698,A,11546.667,510091661843088
1774148544838,2026-03-22 03:02:24.838,69150.0,0.00017,A,11.755500000000001,829592517183579
1774148545041,2026-03-22 03:02:25.041,69149.0,0.00017,A,11.75533,1070464477781175
1774148545041,2026-03-22 03:02:25.041,69148.0,0.00016,A,11.063680000000002,880696919820873
1774148545041,2026-03-22 03:02:25.041,69148.0,0.00017,A,11.75516,39429570485918
1774148545041,2026-03-22 03:02:25.041,69148.0,0.00032,A,22.127360000000003,326613107789198
1774148545520,2026-03-22 03:02:25.520,69148.0,0.00727,A,502.70596,265899892583357
1774148545520,2026-03-22 03:02:25.520,69148.0,0.00017,A,11.75516,551565139488154
1774148545520,2026-03-22 03:02:25.520,69147.0,0.003,A,207.441,85848952079049
1774148545520,2026-03-22 03:02:25.520,69147.0,0.00028,A,19.361159999999998,150245595270583
1774148545520,2026-03-22 03:02:25.520,69147.0,0.00017,A,11.754990000000001,488217164621791
1774148545520,2026-03-22 03:02:25.520,69146.0,0.00017,A,11.75482,1042564388620664
1774148545520,2026-03-22 03:02:25.520,69146.0,0.00017,A,11.75482,649624156088157
1774148545520,2026-03-22 03:02:25.520,69145.0,0.00016,A,11.0632,753444522047513
1774148545520,2026-03-22 03:02:25.520,69145.0,0.00017,A,11.754650000000002,1100752600671026
1774148545520,2026-03-22 03:02:25.520,69145.0,0.00036,A,24.892200000000003,750250636327310
1774148545520,2026-03-22 03:02:25.520,69144.0,0.00072,A,49.783680000000004,718379846384700
1774148545520,2026-03-22 03:02:25.520,69144.0,0.00017,A,11.754480000000001,849746239659619
1774148545520,2026-03-22 03:02:25.520,69144.0,0.00036,A,24.891840000000002,1124658802026757
1774148545520,2026-03-22 03:02:25.520,69143.0,0.00017,A,11.75431,1124115865072978
1774148545520,2026-03-22 03:02:25.520,69143.0,0.00036,A,24.89148,149326913108734
1774148545520,2026-03-22 03:02:25.520,69143.0,0.00067,A,46.325810000000004,34972603644563
1774148545787,2026-03-22 03:02:25.787,69143.0,0.01446,A,999.8077800000001,263560358714834
1774148545787,2026-03-22 03:02:25.787,69143.0,0.00448,A,309.76063999999997,954734381801816
1774148545787,2026-03-22 03:02:25.787,69143.0,0.04476,A,3094.8406800000002,15552639438870
1774148545787,2026-03-22 03:02:25.787,69143.0,0.01366,A,944.49338,610440680729290
1774148545863,2026-03-22 03:02:25.863,69143.0,0.01494,A,1032.99642,47286406890970
1774148546077,2026-03-22 03:02:26.077,69143.0,0.00232,A,160.41176,198666731202204
1774148546392,2026-03-22 03:02:26.392,69143.0,0.00028,A,19.360039999999998,222250443135952
1774148546392,2026-03-22 03:02:26.392,69145.0,0.00015,B,10.371749999999999,199490796787120
1774148546392,2026-03-22 03:02:26.392,69147.0,0.00015,B,10.37205,321647839248005
1774148546392,2026-03-22 03:02:26.392,69148.0,0.00996,B,688.71408,171129459368757
1774148546916,2026-03-22 03:02:26.916,69148.0,0.00089,B,61.54172,750100111225227
1774148547058,2026-03-22 03:02:27.058,69147.0,0.00017,A,11.754990000000001,930492556764473
1774148547494,2026-03-22 03:02:27.494,69148.0,0.11132,B,7697.55536,965344536286248
1774148548138,2026-03-22 03:02:28.138,69148.0,0.00034,B,23.51032,599612640794244
1774148549116,2026-03-22 03:02:29.116,69148.0,0.00684,B,472.97231999999997,661848825927179
1774148549319,2026-03-22 03:02:29.319,69148.0,0.00147,B,101.64756,223899504178380
1774148550365,2026-03-22 03:02:30.365,69147.0,0.05,A,3457.3500000000004,418320095273919
1774148551850,2026-03-22 03:02:31.850,69143.0,0.00017,A,11.75431,399161935233024
1774148551850,2026-03-22 03:02:31.850,69142.0,0.00086,A,59.46212,249404779385208
1774148551850,2026-03-22 03:02:31.850,69142.0,0.00017,A,11.754140000000001,24221693721774
1774148551850,2026-03-22 03:02:31.850,69142.0,0.00036,A,24.89112,422996733717371
1774148551850,2026-03-22 03:02:31.850,69141.0,0.00016,A,11.062560000000001,923605064940452
1774148551850,2026-03-22 03:02:31.850,69141.0,0.00017,A,11.75397,484004063754546
1774148551850,2026-03-22 03:02:31.850,69141.0,0.05665,A,3916.83765,820571909115767
1774148551850,2026-03-22 03:02:31.850,69141.0,0.0215,A,1486.5314999999998,448104643607945
1774148551850,2026-03-22 03:02:31.850,69141.0,0.0191,A,1320.5930999999998,972475439571973
1774148551850,2026-03-22 03:02:31.850,69140.0,0.00017,A,11.7538,407789434461546
1774148551850,2026-03-22 03:02:31.850,69140.0,0.003,A,207.42000000000002,725954192542312
1774148551850,2026-03-22 03:02:31.850,69140.0,0.02892,A,1999.5288,581775229476305
1774148551850,2026-03-22 03:02:31.850,69139.0,0.00017,A,11.753630000000001,212299748532950
1774148551850,2026-03-22 03:02:31.850,69138.0,0.00017,A,11.75346,150920431142168
1774148551850,2026-03-22 03:02:31.850,69138.0,0.35,A,24198.3,374331374797036
1774148551850,2026-03-22 03:02:31.850,69137.0,0.00016,A,11.06192,32282660394316
1774148551850,2026-03-22 03:02:31.850,69137.0,0.01157,A,799.9150900000001,548603218216260
1774148551850,2026-03-22 03:02:31.850,69137.0,0.00017,A,11.753290000000002,551392615197048
1774148551850,2026-03-22 03:02:31.850,69137.0,0.02151,A,1487.13687,916606191406394
1774148551850,2026-03-22 03:02:31.850,69137.0,0.01978,A,1367.5298599999999,1034096104222159
1774148551850,2026-03-22 03:02:31.850,69137.0,0.1,A,6913.700000000001,163874342660530
1774148551850,2026-03-22 03:02:31.850,69137.0,0.21698,A,15001.34626,867230885484142
1774148551850,2026-03-22 03:02:31.850,69136.0,0.00057,A,39.40752,300317528559554
1774148551850,2026-03-22 03:02:31.850,69136.0,0.00017,A,11.753120000000001,1039573755497377
1774148551850,2026-03-22 03:02:31.850,69136.0,0.02418,A,1671.70848,57479258120850
