time,datetime_utc,px,sz,side,notional,tid
1774148906613,2026-03-22 03:08:26.613,69184.0,0.08938,A,6183.66592,163300537559564
1774148906613,2026-03-22 03:08:26.613,69184.0,0.10734,A,7426.21056,576088049212760
1774148906613,2026-03-22 03:08:26.613,69184.0,0.09202,A,6366.311680000001,369077529799330
1774148906613,2026-03-22 03:08:26.613,69184.0,0.57818,A,40000.805120000005,510697197864128
1774148906613,2026-03-22 03:08:26.613,69184.0,0.03987,A,2758.3660800000002,317746536239297
1774148906613,2026-03-22 03:08:26.613,69184.0,0.28864,A,19969.26976,955159654732676
1774148906613,2026-03-22 03:08:26.613,69184.0,0.21,A,14528.64,1020451640116550
1774148906613,2026-03-22 03:08:26.613,69184.0,0.23199,A,16049.99616,78180070940698
1774148906613,2026-03-22 03:08:26.613,69184.0,0.35,A,24214.399999999998,652663900569434
1774148906613,2026-03-22 03:08:26.613,69184.0,0.22067,A,15266.83328,154362431061340
1774148906613,2026-03-22 03:08:26.613,69184.0,0.14245,A,9855.2608,32045706031651
1774148907017,2026-03-22 03:08:27.017,69184.0,0.00017,A,11.761280000000001,177007954765113
1774148907017,2026-03-22 03:08:27.017,69185.0,0.00099,B,68.49315,267019596344396
1774148907623,2026-03-22 03:08:27.623,69185.0,0.00021,B,14.52885,1041418493039725
1774148907824,2026-03-22 03:08:27.824,69184.0,0.0002,A,13.8368,230819881666902
1774148910780,2026-03-22 03:08:30.780,69185.0,0.07771,B,5376.36635,484121702009603
1774148915023,2026-03-22 03:08:35.023,69184.0,0.00142,A,98.24128,108014939637221
1774148916714,2026-03-22 03:08:36.714,69185.0,0.06987,B,4833.9559500000005,49217306689126
1774148918029,2026-03-22 03:08:38.029,69185.0,0.00016,B,11.069600000000001,592021120313507
1774148918119,2026-03-22 03:08:38.119,69184.0,0.029,A,2006.336,969210017991323
1774148920744,2026-03-22 03:08:40.744,69185.0,0.05519,B,3818.32015,672991465030508
1774148921347,2026-03-22 03:08:41.347,69185.0,0.18265,B,12636.64025,725153821366078
1774148923055,2026-03-22 03:08:43.055,69185.0,0.00047,B,32.51695,671486128585278
1774148924059,2026-03-22 03:08:44.059,69185.0,0.00759,B,525.11415,996866963627176
1774148924967,2026-03-22 03:08:44.967,69184.0,0.0047,A,325.1648,392966704307729
1774148926075,2026-03-22 03:08:46.075,69184.0,0.00027,A,18.67968,364594854294847
1774148929596,2026-03-22 03:08:49.596,69184.0,0.0047,A,325.1648,36192713048273
1774148930200,2026-03-22 03:08:50.200,69185.0,0.00034,B,23.5229,367263474197935
1774148931006,2026-03-22 03:08:51.006,69184.0,0.00028,A,19.371519999999997,542733651887433
1774148932416,2026-03-22 03:08:52.416,69185.0,0.00898,B,621.2813,1120031967129626
1774148935036,2026-03-22 03:08:55.036,69184.0,0.00082,A,56.73088,826046641209175
1774148936043,2026-03-22 03:08:56.043,69184.0,0.00169,A,116.92096000000001,136826166347666
1774148937049,2026-03-22 03:08:57.049,69184.0,0.00017,A,11.761280000000001,538815936048838
1774148939437,2026-03-22 03:08:59.437,69185.0,0.006,B,415.11,481215395876253
1774148940123,2026-03-22 03:09:00.123,69184.0,0.00017,A,11.761280000000001,1087253358415138
1774148940123,2026-03-22 03:09:00.123,69184.0,0.02891,A,2000.1094400000002,507912815615421
1774148940123,2026-03-22 03:09:00.123,69183.0,0.00015,A,10.37745,884858854565055
1774148940123,2026-03-22 03:09:00.123,69183.0,0.00017,A,11.76111,752435356337588
