time,datetime_utc,px,sz,side,notional,tid
1774158443174,2026-03-22 05:47:23.174,69185.0,0.01879,A,1299.9861500000002,980084101111661
1774158443374,2026-03-22 05:47:23.374,69186.0,0.07226,B,4999.38036,328775143150
1774158443775,2026-03-22 05:47:23.775,69186.0,0.005,B,345.93,329856302889791
1774158444380,2026-03-22 05:47:24.380,69186.0,0.00144,B,99.62784,401788165494033
1774158445545,2026-03-22 05:47:25.545,69186.0,0.00017,B,11.76162,915307378121253
1774158445545,2026-03-22 05:47:25.545,69187.0,0.00017,B,11.761790000000001,1000530309531542
1774158445545,2026-03-22 05:47:25.545,69188.0,0.00016,B,11.07008,559308968800920
1774158445545,2026-03-22 05:47:25.545,69188.0,0.00043,B,29.75084,739840280450787
1774158445545,2026-03-22 05:47:25.545,69188.0,0.00017,B,11.76196,468460499958928
1774158445545,2026-03-22 05:47:25.545,69188.0,0.00945,B,653.8266,961226105779173
1774158446351,2026-03-22 05:47:26.351,69188.0,0.01778,B,1230.16264,393750933749790
1774158446677,2026-03-22 05:47:26.677,69188.0,0.00016,B,11.07008,1015909885656300
1774158447487,2026-03-22 05:47:27.487,69189.0,0.00017,B,11.76213,1081548532559879
1774158447487,2026-03-22 05:47:27.487,69189.0,0.00128,B,88.56192,553968669125075
1774158448460,2026-03-22 05:47:28.460,69190.0,0.0002,B,13.838000000000001,1082071471637777
1774158449100,2026-03-22 05:47:29.100,69191.0,0.00016,B,11.07056,576729218261825
1774158451701,2026-03-22 05:47:31.701,69191.0,1e-05,B,0.69191,498521597193431
1774158451701,2026-03-22 05:47:31.701,69191.0,0.003,B,207.573,897293387229609
1774158451701,2026-03-22 05:47:31.701,69191.0,0.00199,B,137.69009,410804276835002
1774158452435,2026-03-22 05:47:32.435,69193.0,0.00017,B,11.76281,884399059652748
1774158452435,2026-03-22 05:47:32.435,69194.0,0.00017,B,11.76298,49907064723540
1774158452435,2026-03-22 05:47:32.435,69195.0,0.00017,B,11.763150000000001,150954325722068
1774158452435,2026-03-22 05:47:32.435,69196.0,0.00017,B,11.76332,638705597764322
1774158452435,2026-03-22 05:47:32.435,69196.0,0.00264,B,182.67744,820858646155542
1774158452640,2026-03-22 05:47:32.640,69196.0,0.00036,B,24.91056,560969041605924
1774158452942,2026-03-22 05:47:32.942,69197.0,0.00017,B,11.763490000000001,1112376582455435
1774158452942,2026-03-22 05:47:32.942,69197.0,0.00467,B,323.14999,232478807830281
1774158453435,2026-03-22 05:47:33.435,69198.0,0.00028,B,19.375439999999998,220829918513357
1774158453435,2026-03-22 05:47:33.435,69198.0,0.04335,B,2999.7333,814879918393546
1774158453435,2026-03-22 05:47:33.435,69199.0,0.00016,B,11.071840000000002,30508997827569
1774158453435,2026-03-22 05:47:33.435,69199.0,0.00017,B,11.76383,1009058053240118
1774158453435,2026-03-22 05:47:33.435,69199.0,0.00043,B,29.75557,522129247091216
1774158453435,2026-03-22 05:47:33.435,69200.0,0.00016,B,11.072000000000001,744310939488771
1774158453435,2026-03-22 05:47:33.435,69200.0,0.00035,B,24.22,976616947888566
1774158453435,2026-03-22 05:47:33.435,69200.0,0.00017,B,11.764000000000001,895009021377945
1774158453435,2026-03-22 05:47:33.435,69201.0,0.00017,B,11.76417,119114696619537
1774158453435,2026-03-22 05:47:33.435,69201.0,0.002,B,138.40200000000002,827313195774920
1774158453435,2026-03-22 05:47:33.435,69201.0,0.00291,B,201.37491,589917329765084
1774158454043,2026-03-22 05:47:34.043,69200.0,0.00142,A,98.264,282498230154593
1774158454111,2026-03-22 05:47:34.111,69200.0,0.00332,A,229.744,571083062542328
1774158454352,2026-03-22 05:47:34.352,69201.0,9e-05,B,6.228090000000001,1073442492941196
1774158454352,2026-03-22 05:47:34.352,69201.0,0.00136,B,94.11336,726480627997173
1774158454554,2026-03-22 05:47:34.554,69201.0,0.00021,B,14.532210000000001,1103888790045405
1774158454662,2026-03-22 05:47:34.662,69201.0,0.00022,B,15.22422,756159248738127
1774158455760,2026-03-22 05:47:35.760,69201.0,0.00017,B,11.76417,987574391589384
