time,datetime_utc,px,sz,side,notional,tid
1774154840596,2026-03-22 04:47:20.596,69314.0,0.00057,A,39.50898,470070847511007
1774154840679,2026-03-22 04:47:20.679,69314.0,0.00057,A,39.50898,1108070661289655
1774154841080,2026-03-22 04:47:21.080,69314.0,0.00243,A,168.43302,996570106196613
1774154841080,2026-03-22 04:47:21.080,69314.0,0.00028,A,19.407919999999997,122480466025111
1774154841686,2026-03-22 04:47:21.686,69315.0,0.01443,B,1000.21545,90961656233496
1774154843494,2026-03-22 04:47:23.494,69314.0,0.0002,A,13.8628,404461998617559
1774154843494,2026-03-22 04:47:23.494,69314.0,0.00017,A,11.783380000000001,786056032166459
1774154843611,2026-03-22 04:47:23.611,69313.0,0.00016,A,11.09008,628544500207463
1774154843611,2026-03-22 04:47:23.611,69313.0,0.00017,A,11.78321,631340176697702
1774154843611,2026-03-22 04:47:23.611,69313.0,0.00015,A,10.396949999999999,1057649253646603
1774154843611,2026-03-22 04:47:23.611,69312.0,0.00017,A,11.783040000000002,550047093198799
1774154843611,2026-03-22 04:47:23.611,69312.0,0.003,A,207.936,1086458816578346
1774154843876,2026-03-22 04:47:23.876,69311.0,0.00017,A,11.78287,60394495076444
1774154843876,2026-03-22 04:47:23.876,69311.0,0.00783,A,542.70513,319148114881936
1774154844307,2026-03-22 04:47:24.307,69311.0,0.00015,A,10.39665,578497176124494
1774154844604,2026-03-22 04:47:24.604,69311.0,0.00038,A,26.33818,21800510668844
1774154845405,2026-03-22 04:47:25.405,69311.0,0.04829,A,3347.02819,1083011419273182
1774154845405,2026-03-22 04:47:25.405,69311.0,0.04985,A,3455.15335,45355668818140
1774154845405,2026-03-22 04:47:25.405,69311.0,0.00476,A,329.92036,342278000684816
1774154847013,2026-03-22 04:47:27.013,69311.0,0.00017,A,11.78287,980662658829018
1774154847013,2026-03-22 04:47:27.013,69311.0,0.01661,A,1151.25571,627124121485330
1774154848817,2026-03-22 04:47:28.817,69311.0,0.07005,A,4855.23555,37863458429324
1774154849039,2026-03-22 04:47:29.039,69311.0,0.00018,A,12.475980000000002,1061810891946986
1774154853343,2026-03-22 04:47:33.343,69312.0,0.00059,B,40.89408,515625202238671
1774154853343,2026-03-22 04:47:33.343,69312.0,0.00518,B,359.03616,855544097583557
1774154855041,2026-03-22 04:47:35.041,69311.0,0.00141,A,97.72851,1048244534856808
1774154858086,2026-03-22 04:47:38.086,69312.0,0.00016,B,11.089920000000001,842271763839491
1774154860002,2026-03-22 04:47:40.002,69312.0,0.00047,B,32.57664,753287440407968
1774154860811,2026-03-22 04:47:40.811,69311.0,0.00017,A,11.78287,343471339154257
1774154860811,2026-03-22 04:47:40.811,69310.0,0.00016,A,11.0896,226102794283472
1774154860811,2026-03-22 04:47:40.811,69310.0,0.00017,A,11.7827,590755327875669
1774154862997,2026-03-22 04:47:42.997,69310.0,0.00094,B,65.1514,193893992168329
1774154862997,2026-03-22 04:47:42.997,69310.0,6e-05,B,4.1586,450111906703648
1774154865063,2026-03-22 04:47:45.063,69310.0,0.00057,B,39.506699999999995,688422464215165
1774154866021,2026-03-22 04:47:46.021,69309.0,0.00017,A,11.782530000000001,1010563391023217
1774154866021,2026-03-22 04:47:46.021,69309.0,0.05123,A,3550.70007,183788527344817
1774154866021,2026-03-22 04:47:46.021,69308.0,0.00017,A,11.78236,943528174015562
1774154866021,2026-03-22 04:47:46.021,69308.0,0.00015,A,10.396199999999999,139606257303004
1774154866021,2026-03-22 04:47:46.021,69308.0,0.01687,A,1169.22596,547737873424911
1774154866021,2026-03-22 04:47:46.021,69308.0,0.00027,A,18.713160000000002,321813425781331
1774154866625,2026-03-22 04:47:46.625,69308.0,0.04302,B,2981.63016,695500820345771
1774154871072,2026-03-22 04:47:51.072,69307.0,0.00242,A,167.72294,406599555375374
1774154871072,2026-03-22 04:47:51.072,69307.0,0.00027,A,18.71289,119071525294607
1774154872090,2026-03-22 04:47:52.090,69307.0,0.00017,A,11.782190000000002,863868422681077
1774154872090,2026-03-22 04:47:52.090,69307.0,0.00356,A,246.73291999999998,1016897557828003
1774154872090,2026-03-22 04:47:52.090,69307.0,0.00276,A,191.28732,724177674240175
1774154872090,2026-03-22 04:47:52.090,69307.0,0.0002,A,13.861400000000001,19954748624279
1774154872090,2026-03-22 04:47:52.090,69307.0,0.01327,A,919.70389,436413596145701
1774154872199,2026-03-22 04:47:52.199,69307.0,0.00372,A,257.82204,550260765394777
1774154875888,2026-03-22 04:47:55.888,69306.0,0.00017,A,11.782020000000001,508094232557654
1774154875888,2026-03-22 04:47:55.888,69306.0,0.00059,A,40.89054,70341980412995
1774154876071,2026-03-22 04:47:56.071,69306.0,0.00077,A,53.36562,591731952560622
1774154877055,2026-03-22 04:47:57.055,69306.0,0.00017,A,11.782020000000001,713128192922255
1774154877055,2026-03-22 04:47:57.055,69306.0,0.01662,A,1151.86572,109252896577044
1774154877118,2026-03-22 04:47:57.118,69306.0,0.00015,A,10.3959,1048401280964423
1774154878518,2026-03-22 04:47:58.518,69306.0,7e-05,A,4.851419999999999,838371710594967
1774154879027,2026-03-22 04:47:59.027,69307.0,0.00016,B,11.089120000000001,161637096379067
1774154879027,2026-03-22 04:47:59.027,69306.0,0.00017,A,11.782020000000001,975560886216803
1774154881531,2026-03-22 04:48:01.531,69306.0,0.21302,A,14763.56412,494478486604765
1774154883245,2026-03-22 04:48:03.245,69307.0,7e-05,B,4.851489999999999,608124480139096
1774154884048,2026-03-22 04:48:04.048,69306.0,0.00142,A,98.41452,456872792226336
1774154886574,2026-03-22 04:48:06.574,69306.0,0.00914,A,633.45684,936571709932790
1774154886574,2026-03-22 04:48:06.574,69306.0,5e-05,A,3.4653,782465264374274
1774154886574,2026-03-22 04:48:06.574,69306.0,0.00017,A,11.782020000000001,516668003567144
1774154886574,2026-03-22 04:48:06.574,69306.0,0.0002,A,13.8612,1044307351971993
1774154886892,2026-03-22 04:48:06.892,69305.0,0.00017,A,11.78185,766307181057647
1774154886892,2026-03-22 04:48:06.892,69305.0,0.00972,A,673.6446,259126835966570
1774154887676,2026-03-22 04:48:07.676,69305.0,0.01913,A,1325.80465,621957534386035
1774154887676,2026-03-22 04:48:07.676,69305.0,0.00017,A,11.78185,70449512249494
1774154887676,2026-03-22 04:48:07.676,69304.0,0.00017,A,11.781680000000001,384242719304594
1774154887676,2026-03-22 04:48:07.676,69304.0,2e-05,A,1.3860800000000002,261825195905542
1774154888074,2026-03-22 04:48:08.074,69305.0,0.00016,B,11.0888,439612725576142
1774154888503,2026-03-22 04:48:08.503,69304.0,0.00018,A,12.474720000000001,13334321856681
1774154888503,2026-03-22 04:48:08.503,69304.0,0.00126,A,87.32304,1071795164375377
1774154890115,2026-03-22 04:48:10.115,69305.0,0.00048,B,33.2664,89538987266876
1774154890554,2026-03-22 04:48:10.554,69304.0,0.00308,A,213.45631999999998,1110903292208314
1774154890554,2026-03-22 04:48:10.554,69304.0,0.00308,A,213.45631999999998,234202740192672
1774154892294,2026-03-22 04:48:12.294,69304.0,0.00017,A,11.781680000000001,935634867675054
1774154892294,2026-03-22 04:48:12.294,69303.0,0.00017,A,11.78151,88907429160339
1774154892848,2026-03-22 04:48:12.848,69302.0,0.00017,A,11.78134,615216727653542
1774154892848,2026-03-22 04:48:12.848,69302.0,0.0002,A,13.8604,484921571513299
1774154892848,2026-03-22 04:48:12.848,69301.0,0.00017,A,11.781170000000001,672372567353196
1774154892848,2026-03-22 04:48:12.848,69301.0,0.003,A,207.903,1003085222031777
1774154892848,2026-03-22 04:48:12.848,69301.0,0.00015,A,10.39515,996278490968723
1774154892848,2026-03-22 04:48:12.848,69301.0,0.00112,A,77.61712,761898292260519
1774154893850,2026-03-22 04:48:13.850,69301.0,0.00017,A,11.781170000000001,397556735470471
1774154893850,2026-03-22 04:48:13.850,69301.0,0.00127,A,88.01227,128263953402482
1774154895080,2026-03-22 04:48:15.080,69302.0,0.00057,B,39.50214,919239140069182
1774154896022,2026-03-22 04:48:16.022,69301.0,0.06858,A,4752.66258,349452118230769
1774154896022,2026-03-22 04:48:16.022,69301.0,0.00028,A,19.40428,1091311414568814
1774154898116,2026-03-22 04:48:18.116,69302.0,0.00017,B,11.78134,905610281130537
1774154898116,2026-03-22 04:48:18.116,69302.0,0.00013,B,9.00926,536853562551551
1774154899118,2026-03-22 04:48:19.118,69302.0,0.00057,B,39.50214,754668965208210
1774154900737,2026-03-22 04:48:20.737,69302.0,0.008,B,554.416,1110359626117922
1774154901073,2026-03-22 04:48:21.073,69301.0,0.00243,A,168.40143,622254118751117
1774154901073,2026-03-22 04:48:21.073,69301.0,0.00028,A,19.40428,22984992330005
1774154906986,2026-03-22 04:48:26.986,69302.0,0.00022,B,15.24644,47075940855241
1774154907090,2026-03-22 04:48:27.090,69301.0,0.00017,A,11.781170000000001,68289707553903
1774154907090,2026-03-22 04:48:27.090,69301.0,0.01661,A,1151.08961,1016236202644429
1774154907593,2026-03-22 04:48:27.593,69302.0,0.02918,B,2022.23236,155317917547402
1774154907593,2026-03-22 04:48:27.593,69302.0,0.01009,B,699.25718,468248948554304
1774154907593,2026-03-22 04:48:27.593,69302.0,0.02573,B,1783.1404599999998,393858765171224
1774154908596,2026-03-22 04:48:28.596,69301.0,0.00376,A,260.57176,336122725305698
1774154909005,2026-03-22 04:48:29.005,69302.0,0.00016,B,11.088320000000001,950199517250940
1774154909005,2026-03-22 04:48:29.005,69301.0,0.00017,A,11.781170000000001,346637202593646
1774154914029,2026-03-22 04:48:34.029,69301.0,0.00142,A,98.40742,279772420057012
1774154915343,2026-03-22 04:48:35.343,69301.0,0.00015,A,10.39515,41105098649404
1774154915651,2026-03-22 04:48:35.651,69302.0,0.00016,B,11.088320000000001,309768438778599
1774154915850,2026-03-22 04:48:35.850,69302.0,1e-05,B,0.6930200000000001,532869383569213
1774154915850,2026-03-22 04:48:35.850,69302.0,0.0002,B,13.8604,951264803726099
1774154915850,2026-03-22 04:48:35.850,69302.0,0.00407,B,282.05914,368300197004144
1774154918874,2026-03-22 04:48:38.874,69303.0,0.00017,B,11.78151,921864455379305
1774154918874,2026-03-22 04:48:38.874,69303.0,0.0002,B,13.8606,491721098645352
1774154918874,2026-03-22 04:48:38.874,69304.0,0.00017,B,11.781680000000001,848286464005796
1774154918874,2026-03-22 04:48:38.874,69305.0,0.00288,B,199.59840000000003,28864402259374
1774154918874,2026-03-22 04:48:38.874,69305.0,0.00017,B,11.78185,654779453135343
1774154918874,2026-03-22 04:48:38.874,69305.0,0.00015,B,10.39575,294233665135384
1774154919687,2026-03-22 04:48:39.687,69305.0,0.00014,A,9.702699999999998,609420106866745
1774154919687,2026-03-22 04:48:39.687,69305.0,0.00707,A,489.98635,563604401469351
1774154920054,2026-03-22 04:48:40.054,69306.0,0.00047,B,32.57382,83807439870355
1774154920562,2026-03-22 04:48:40.562,69306.0,0.00024,B,16.63344,468416907180509
1774154925127,2026-03-22 04:48:45.127,69306.0,0.00056,B,38.81135999999999,1018303134075037
1774154926068,2026-03-22 04:48:46.068,69305.0,0.06859,A,4753.62995,753928259303146
1774154926068,2026-03-22 04:48:46.068,69305.0,0.00028,A,19.405399999999997,185936696456596
1774154926381,2026-03-22 04:48:46.381,69305.0,0.00042,A,29.1081,818321602449241
1774154926680,2026-03-22 04:48:46.680,69305.0,0.00015,A,10.39575,695875184569951
1774154931028,2026-03-22 04:48:51.028,69305.0,0.00243,A,168.41115,634042952670333
1774154931028,2026-03-22 04:48:51.028,69305.0,0.00028,A,19.405399999999997,887264381864658
1774154937001,2026-03-22 04:48:57.001,69305.0,0.00017,A,11.78185,906965386198814
1774154937001,2026-03-22 04:48:57.001,69305.0,0.01661,A,1151.15605,170483221188308
1774154938208,2026-03-22 04:48:58.208,69305.0,0.00042,A,29.1081,1077287593771185
1774154939015,2026-03-22 04:48:59.015,69306.0,0.00016,B,11.08896,1003287948515151
1774154939015,2026-03-22 04:48:59.015,69305.0,0.00017,A,11.78185,58472842707043
1774154939485,2026-03-22 04:48:59.485,69305.0,0.13956,A,9672.2058,397832797146681
1774154941831,2026-03-22 04:49:01.831,69306.0,0.00017,B,11.782020000000001,818096320260467
1774154941831,2026-03-22 04:49:01.831,69306.0,0.0002,B,13.8612,224906568146235
1774154941831,2026-03-22 04:49:01.831,69307.0,0.00017,B,11.782190000000002,960167195093754
1774154941831,2026-03-22 04:49:01.831,69307.0,0.00015,B,10.396049999999999,441447868765329
1774154941831,2026-03-22 04:49:01.831,69308.0,0.00017,B,11.78236,725370294111773
1774154941831,2026-03-22 04:49:01.831,69308.0,0.00015,B,10.396199999999999,972219369766124
1774154941831,2026-03-22 04:49:01.831,69308.0,0.0002,B,13.861600000000001,233370099264641
